,brand,vintage,rating,price,num_ratings,location
0,Vega Sicilia,Unico 2010,4.8,455.0,1499,"Ribera del Duero, Spain"
1,Casanova di Neri,Cerretalto Brunello di Montalcino 2016,4.8,420.0,141,"Brunello di Montalcino, Italy"
2,Brunelli,Campo Inferi Amarone della Valpolicella Classico Riserva 2017,4.8,64.99,48,"Amarone della Valpolicella Classico, Italy"
3,Dominio de Cair,Pendón De La Aguilera 2011,4.8,219.99,45,"Ribera del Duero, Spain"
4,Château Gilette,Sauternes (Crème de Tête) 1997,4.8,384.99,37,"Sauternes, France"
5,Bodegas Mauro,Terreus Paraje de Cueva Baja 2017,4.7,146.3,280,"Castilla y León, Spain"
6,Antinori,Tenuta Tignanello 'Solaia' 2011,4.7,275.0,1993,"Toscana, Italy"
7,Château d'Yquem,Sauternes 2005,4.7,420.0,1722,"Sauternes, France"
8,Vega Sicilia,Valbuena 5º 2017,4.7,183.99,1067,"Ribera del Duero, Spain"
9,Emilio Moro,Malleolus de Sanchomartin 2016,4.7,250.0,412,"Ribera del Duero, Spain"
10,Viñedos de Páganos,La Nieta 2015,4.7,140.99,329,"Rioja, Spain"
11,Teso La Monja,Alabaster 2016,4.7,225.0,296,"Toro, Spain"
12,Vega Sicilia,Valbuena 5º 2014,4.7,262.49,4714,"Ribera del Duero, Spain"
13,Antinori,Tenuta Guado al Tasso Matarocchio 2016,4.7,425.0,230,"Maremma Toscana, Italy"
14,Antinori,Tenuta Tignanello 'Solaia' 2018,4.7,482.94,223,"Toscana, Italy"
15,Château d'Yquem,Sauternes 2018,4.7,469.99,194,"Sauternes, France"
16,Quintarelli Giuseppe,Recioto della Valpolicella Classico 2007,4.7,194.98,187,"Recioto della Valpolicella, Italy"
17,Casanova di Neri,Cerretalto Brunello di Montalcino 2015,4.7,349.95,180,"Brunello di Montalcino, Italy"
18,Quinta do Crasto,Vinha da Ponte 2016,4.7,233.99,134,"Douro, Portugal"
19,Avignonesi,Vin Santo di Montepulciano Occhio di Pernice 2005,4.7,279.8,103,"Vin Santo di Montepulciano, Italy"
20,Ferragù,Amarone della Valpolicella 2015,4.7,149.99,64,"Amarone della Valpolicella, Italy"
21,Viña Cobos,Cobos Viña Cobos Malbec 2018,4.7,434.99,59,"Lujan de Cuyo, Argentina"
22,Blandy's,Sercial Madeira 1968,4.7,429.99,59,"Madeira, Portugal"
23,Rafael Palacios,Sorte O Soro Val do Bibei 2019,4.7,324.99,57,"Valdeorras, Spain"
24,Ordóñez,Vatan Arena Tinta de Toro 2015,4.7,399.99,56,"Toro, Spain"
25,Teso La Monja,Alabaster 2019,4.7,225.0,49,"Toro, Spain"
26,Stefano Accordini,Il Fornetto Riserva Amarone della Valpolicella Classico 2015,4.7,99.99,37,"Amarone della Valpolicella Classico, Italy"
27,Aura di Valerie,Amarone della Valpolicella Classico 2017,4.7,69.99,29,"Amarone della Valpolicella Classico, Italy"
28,Bussola,Amarone della Valpolicella Classico Vigneto Alto TB 2010,4.7,215.0,27,"Amarone della Valpolicella Classico, Italy"
29,Pago de Carraovejas,Cuesta de Las Liebres 2018,4.7,225.0,26,"Ribera del Duero, Spain"
30,Joh. Jos. Prüm,Bernkasteler Badstube Riesling Beerenauslese 2006,4.7,199.99,25,"Bernkastel, Germany"
31,Aalto,PS (Pagos Seleccionados) Ribera del Duero 2019,4.6,149.99,2251,"Ribera del Duero, Spain"
32,Dom Pérignon,Brut Champagne 2012,4.6,269.99,4186,"Champagne, France"
33,Tenuta San Guido,Sassicaia 2005,4.6,440.0,2891,"Bolgheri Sassicaia, Italy"
34,El Enemigo,Gran Enemigo Single Vineyard Gualtallary Cabernet Franc 2017,4.6,113.99,2644,"Gualtallary, Argentina"
35,El Enemigo,Gran Enemigo Single Vineyard Agrelo Cabernet Franc 2014,4.6,104.95,2567,"Agrelo, Argentina"
36,Catena Zapata,Nicolás Catena Zapata 2016,4.6,88.5,2270,"Mendoza, Argentina"
37,Krug,Grande Cuvée Brut Champagne N.V.,4.6,261.99,26726,"Champagne, France"
38,W. & J. Graham's,40 Year Old Tawny Port N.V.,4.6,199.95,2213,"Porto, Portugal"
39,Antinori,Tignanello 2019,4.6,159.99,2184,"Toscana, Italy"
40,Clos Apalta,Clos Apalta 2015,4.6,149.99,1928,"Apalta Valley, Chile"
41,Antinori,Tenuta Tignanello 'Solaia' 2012,4.6,275.0,1814,"Toscana, Italy"
42,Taylor's,40 Year Old Tawny Port N.V.,4.6,264.99,1531,"Porto, Portugal"
43,Clos Apalta,Clos Apalta 2014,4.6,134.99,1415,"Apalta Valley, Chile"
44,Ornellaia,Bolgheri Superiore 2017,4.6,264.99,1394,"Bolgheri Superiore, Italy"
45,Alión,Ribera del Duero 2018,4.6,114.95,1292,"Ribera del Duero, Spain"
46,Château Léoville Las Cases,Saint-Julien (Grand Cru Classé) 2005,4.6,459.99,977,"Saint-Julien, France"
47,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2016,4.6,229.99,891,"Pauillac, France"
48,Cartuxa,Pêra-Manca Tinto 2015,4.6,260.0,837,"Alentejo, Portugal"
49,El Enemigo,Gran Enemigo Single Vineyard Agrelo Cabernet Franc 2017,4.6,112.99,653,"Agrelo, Argentina"
50,Louis Roederer,Cristal Brut Champagne (Millésimé) 2014,4.6,385.15,625,"Champagne, France"
51,Cos d'Estournel,Cos d'Estournel 2016,4.6,384.99,613,"Saint-Estèphe, France"
52,El Enemigo,Gran Enemigo Single Vineyard Chacayes Cabernet Franc 2017,4.6,76.99,566,"Tunuyán, Argentina"
53,Luigi Bosca,Icono 2008,4.6,249.99,565,"Lujan de Cuyo, Argentina"
54,Mouchão,Tonel Nº 3 - 4 2013,4.6,226.7,529,"Alentejo, Portugal"
55,Ornellaia,Bolgheri Superiore 2019,4.6,235.0,489,"Bolgheri Superiore, Italy"
56,Château La Conseillante,Pomerol 2010,4.6,339.99,473,"Pomerol, France"
57,Marqués de Murrieta,Dalmau Rioja 2017,4.6,108.98,408,"Rioja, Spain"
58,Aalto,PS (Pagos Seleccionados) Ribera del Duero 2004,4.6,390.0,404,"Ribera del Duero, Spain"
59,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé) 2015,4.6,304.99,395,"Saint-Julien, France"
60,Viña Vik Winery,VIK 2014,4.6,164.99,366,"Colchagua Valley, Chile"
61,Château Léoville Las Cases,Saint-Julien (Grand Cru Classé) 2015,4.6,299.99,363,"Saint-Julien, France"
62,Viñedos de Páganos,La Nieta 2017,4.6,149.95,352,"Rioja, Spain"
63,Bodegas Mauro,Terreus Paraje de Cueva Baja 2015,4.6,156.4,335,"Castilla y León, Spain"
64,Viñedos de Páganos,La Nieta 2018,4.6,135.6,278,"Rioja, Spain"
65,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé) 2016,4.6,349.99,266,"Saint-Julien, France"
66,Viñedo Chadwick,Red 2015,4.6,375.0,253,"Maipo Valley, Chile"
67,Ruinart,Dom Ruinart Rosé Brut Champagne 2007,4.6,434.99,241,"Champagne, France"
68,Bodega Contador (Benjamín Romeo),Contador Rioja 2011,4.6,350.0,233,"Rioja, Spain"
69,Ornellaia,La Grazia 2018,4.6,269.99,204,"Bolgheri Superiore, Italy"
70,Clos d'Ora,Minervois La Livinière Rouge 2015,4.6,229.99,189,"Minervois La Livinière, France"
71,Bodega Contador (Benjamín Romeo),Contador Rioja 2014,4.6,279.99,180,"Rioja, Spain"
72,Gaja,Darmagi Langhe 2013,4.6,224.98,167,"Langhe, Italy"
73,Teso La Monja,Alabaster 2017,4.6,225.0,167,"Toro, Spain"
74,Wine & Soul,Douro Pintas Tinto 2019,4.6,115.8,165,"Douro, Portugal"
75,Viñedos de Páganos,La Nieta 2019,4.6,148.0,165,"Rioja, Spain"
76,Bodegas Roda,Cirsion Rioja 2017,4.6,230.0,163,"Rioja, Spain"
77,Catena Zapata,Adrianna Vineyard Mundus Bacillus Terrae Malbec 2014,4.6,299.0,163,"Tupungato, Argentina"
78,Catena Zapata,Adrianna Vineyard Mundus Bacillus Terrae Malbec 2015,4.6,331.99,156,"Tupungato, Argentina"
79,Bussola,Amarone della Valpolicella Classico Vigneto Alto TB 2005,4.6,375.0,154,"Amarone della Valpolicella Classico, Italy"
80,Torbreck,RunRig 2017,4.6,169.95,149,"Barossa Valley, Australia"
81,Wine & Soul,Douro Pintas Tinto 2018,4.6,113.9,129,"Douro, Portugal"
82,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé) 2018,4.6,314.99,122,"Saint-Julien, France"
83,Tomás Postigo,5º Año Ribera del Duero Tinto 2017,4.6,74.99,108,"Ribera del Duero, Spain"
84,Poggio di Sotto,Brunello di Montalcino Riserva 2013,4.6,424.95,104,"Brunello di Montalcino, Italy"
85,Remírez de Ganuza,Gran Reserva 2010,4.6,169.0,103,"Rioja, Spain"
86,Philipponnat,Clos des Goisses Champagne 2011,4.6,259.99,102,"Champagne, France"
